title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude,metro_score,bus_score,hwy_score,airport_score,IABS
Shraddha Classic,6800000,600,11333.33333,Bhandup,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.1570015,72.93418884,0.2,0.0,0.0,0.0,8.000000000000002
Shraddha Classic,6900000,600,11500.0,Bhandup,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.1570015,72.93418884,0.2,0.0,0.0,0.0,8.000000000000002
Shraddha Evoque,7600000,800,9500.0,Bhandup,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.15924072,72.93253326,0.0,0.0,0.0,0.0,0.0
Shraddha Evoque,7800000,800,9750.0,Bhandup,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.15924072,72.93253326,0.0,0.0,0.0,0.0,0.0
Shraddha Evoque,8000000,800,10000.0,Bhandup,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.15924072,72.93253326,0.0,0.0,0.0,0.0,0.0
Shree Mangesh Shraddha Priva,16000000,1100,14545.45455,Mulund,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.17701149,72.94730377,0.2,0.8,0.0,0.0,28.000000000000004
Shree Mangesh Shraddha Priva,10000000,680,14705.88235,Mulund,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.17701149,72.94730377,0.2,0.8,0.0,0.0,28.000000000000004
Shraddha Panorama,15000000,1000,15000.0,Nahur,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.17726326,72.94264221,0.0,0.5,0.0,0.0,12.5
Shraddha Panorama,9500000,650,14615.38462,Nahur,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.17726326,72.94264221,0.0,0.5,0.0,0.0,12.5
RNA NG Suncity,9000000,650,13846.15385,Kandivali,Mumbai,Apartment,1,2,0,Unfurnished,12,1,19.207407,72.87836456,0.0,0.2,0.2,0.0,9.000000000000002
Park,11000000,715,15384.61538,Kandivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.21244431,72.86897278,0.5,0.5,0.8,0.0,48.50000000000001
Strawberry The Address,7000000,750,9333.333333,Mira Road,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.29112434,72.8723526,0.0,0.0,0.0,0.0,0.0
